,city,cloud,date,humidity,lat,lon,temp_max,wind_speed
0,Qaanaaq,0,1540664326,100,77.48,-69.36,-7.45,10.09
1,Baoma,88,1540664328,88,31.49,106.11,58.66,5.61
2,Avarua,90,1540663200,94,-21.21,-159.78,73.4,11.41
3,Aykhal,92,1540664333,83,65.95,111.51,21.04,13.78
4,Banda Aceh,44,1540664290,100,5.56,95.32,74.27,2.71
5,Caconda,88,1540664339,43,-13.73,15.06,72.61,6.4
6,Butaritari,48,1540664341,100,3.07,172.79,85.48,11.21
7,Khatanga,92,1540664346,89,71.98,102.47,27.16,16.58
8,Mataura,92,1540664185,97,-46.19,168.86,42.32,3.04
9,Sioux Lookout,90,1540663200,93,50.1,-91.92,42.8,8.05
10,Port Elizabeth,90,1540663680,100,39.31,-74.98,62.6,14.99
11,Talnakh,88,1540664354,93,69.49,88.39,35.53,21.5
12,Mount Gambier,8,1540664357,87,-37.83,140.78,41.2,2.48
13,Saint-Philippe,75,1540663200,52,45.36,-73.48,42.8,14.99
14,Arraial do Cabo,40,1540659600,63,-22.97,-42.02,91.4,4.27
15,Tubuala,40,1540659600,79,9.52,-79.03,84.2,6.93
16,Severo-Kurilsk,36,1540664365,100,50.68,156.12,37.01,5.5
17,Omaruru,80,1540664114,58,-21.42,15.95,69.28,4.94
18,Rikitea,8,1540664372,100,-23.12,-134.97,73.24,13.67
19,East London,20,1540659600,82,-33.02,27.91,68.0,11.41
20,Angoche,56,1540664376,100,-16.23,39.91,77.15,14.79
21,Khuzhir,36,1540664379,88,53.19,107.35,39.49,10.87
22,Hamilton,90,1540659300,65,32.3,-64.78,77.0,20.8
23,Mendoza,20,1540659600,44,-32.89,-68.84,78.8,4.7
24,Buala,12,1540664385,98,-8.15,159.59,80.44,3.15
